capture,x,y,w,h
Screenshot_20240715_224736_com.xiachufang.jpg,66,1924,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,1924,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,2588,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,3400,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,3400,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,4212,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,4212,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,5534,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,6416,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,6416,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,7080,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,7892,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,7892,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,9142,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,9142,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,9954,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,9953,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,10690,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,11502,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,11502,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,12752,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,12752,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,13564,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,13564,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,14228,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,15040,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,15040,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,16290,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,16290,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,17102,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,17102,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,17984,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,17984,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,19306,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,19306,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,20118,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,20118,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,21000,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,21000,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,21664,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,22914,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,22914,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,23726,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,23726,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,24538,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,24538,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,25788,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,25788,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,26600,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,26600,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,27264,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,28076,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,28076,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,29326,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,29326,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,30138,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,30138,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,31020,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,31022,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,32270,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,32270,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,33082,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,33894,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,33894,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,34704,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,34706,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,35956,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,35956,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,36768,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,36768,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,37432,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,66,38244,528,528
Screenshot_20240715_224736_com.xiachufang.jpg,626,38244,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,1156,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,1156,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,1820,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,2632,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,2632,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,3444,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,3446,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,4108,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,6048,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,6712,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,8418,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,8418,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,9082,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,66,10786,528,528
Screenshot_20240715_225008_com.xiachufang.jpg,626,10786,528,528
